City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,russell,32.3502,-85.1999,59.0,100,75,0.0,US,1670074914
208,porto novo,6.4965,2.6036,87.62,62,82,9.89,BJ,1670074914
209,fort morgan,40.2503,-103.8,20.62,79,0,0.0,US,1670074915
210,torbay,47.6666,-52.7314,34.57,65,75,5.75,CA,1670074916
211,nhulunbuy,-12.2333,136.7667,79.41,78,12,0.0,AU,1670074916
212,sibiti,-3.6819,13.3499,78.12,74,100,1.19,CG,1670074917
213,broome,42.2506,-75.833,44.69,87,100,11.5,US,1670074917
214,vila velha,-20.3297,-40.2925,78.75,92,100,13.8,BR,1670074858
215,beloha,-25.1667,45.05,81.39,61,100,9.48,MG,1670074917
216,port-gentil,-0.7193,8.7815,80.56,89,75,5.75,GA,1670074917
217,severo-kurilsk,50.6789,156.125,24.44,80,93,9.8,RU,1670074918
218,la palma,33.8464,-118.0467,59.9,90,0,6.91,US,1670074918
219,kalmunai,7.4167,81.8167,79.52,81,90,6.35,LK,1670074918
220,dunedin,-45.8742,170.5036,50.81,82,100,1.01,NZ,1670074918
221,fairbanks,64.8378,-147.7164,24.22,91,100,0.0,US,1670074918
222,preston,53.7667,-2.7167,46.22,77,93,8.16,GB,1670074912
223,mackay,-21.15,149.2,69.67,72,4,14.52,AU,1670074919
224,codrington,-38.2667,141.9667,59.36,63,0,5.99,AU,1670074919
225,naze,28.3667,129.4833,67.12,83,100,13.04,JP,1670074919
226,moree,-29.4667,149.85,67.5,50,49,13.09,AU,1670074919
227,saint george,37.1041,-113.5841,43.39,64,100,0.0,US,1670074920
228,grand gaube,-20.0064,57.6608,81.0,62,29,5.01,MU,1670074920
229,coahuayana,18.7333,-103.6833,75.18,73,56,2.71,MX,1670074920
230,paamiut,61.994,-49.6678,28.35,93,100,7.2,GL,1670074658
231,yizheng,24.6706,103.4296,50.02,87,0,5.23,CN,1670074921
232,charters towers,-20.1,146.2667,70.38,71,11,9.86,AU,1670074921
233,hasaki,35.7333,140.8333,43.21,66,100,13.09,JP,1670074921
234,soure,-0.7167,-48.5233,80.71,79,88,10.22,BR,1670074921
235,kudahuvadhoo,2.6708,72.8944,78.93,81,93,8.28,MV,1670074922
236,padang,-0.9492,100.3543,77.05,84,100,2.37,ID,1670074671
237,sitka,57.0531,-135.33,30.09,69,40,4.61,US,1670074922
238,gizo,-8.103,156.8419,79.56,80,100,4.56,SB,1670074923
239,yeppoon,-23.1333,150.7333,69.58,66,2,16.82,AU,1670074923
240,liaoyang,41.2719,123.1731,8.92,24,0,9.17,CN,1670074923
241,vysokogornyy,50.1167,139.15,-1.12,94,100,7.49,RU,1670074924
242,progreso,21.2833,-89.6667,79.39,75,0,13.82,MX,1670074924
243,san vicente de canete,-13.0751,-76.3835,70.61,75,25,4.38,PE,1670074924
244,san andres,12.5847,-81.7006,82.42,69,20,17.27,CO,1670074733
245,sambava,-14.2667,50.1667,79.3,71,30,7.07,MG,1670074925
246,bonavista,48.6499,-53.1147,31.3,65,6,7.0,CA,1670074925
247,vostok,46.4856,135.8833,-3.1,98,95,6.4,RU,1670074776
248,bhuban,20.8833,85.8333,72.55,56,0,2.46,IN,1670074925
249,americus,32.0724,-84.2327,51.93,100,75,0.0,US,1670074702
250,gazanjyk,39.2446,55.5154,41.65,25,100,15.1,TM,1670074926
251,douglas,41.3,-96.167,11.75,70,0,3.44,US,1670074926
252,aklavik,68.2191,-135.0107,27.39,85,100,3.4,CA,1670074926
253,hilton head island,32.2163,-80.7526,60.98,98,20,0.0,US,1670074926
254,clyde river,70.4692,-68.5914,3.43,72,72,20.71,CA,1670074927
255,oriximina,-1.7656,-55.8661,86.83,61,88,3.29,BR,1670074927
256,half moon bay,37.4636,-122.4286,48.6,93,100,3.44,US,1670074927
257,kargil,34.5667,76.1,24.64,50,28,5.01,IN,1670074927
258,iranshahr,27.2025,60.6848,77.34,16,0,6.91,IR,1670074673
259,esperance,-33.8667,121.9,62.44,86,97,11.52,AU,1670074928
260,juneau,58.3019,-134.4197,25.21,94,20,5.75,US,1670074844
261,kodiak,57.79,-152.4072,18.91,86,0,6.91,US,1670074928
262,matay,28.419,30.7792,75.09,33,100,15.66,EG,1670074928
263,ati,13.2154,18.3353,97.18,12,0,13.76,TD,1670074929
264,cambados,42.5122,-8.8131,57.25,60,0,9.06,ES,1670074929
265,moranbah,-22.0016,148.0466,70.47,67,86,13.65,AU,1670074929
266,geraldton,-28.7667,114.6,68.41,77,100,11.5,AU,1670074929
267,jalu,29.0331,21.5482,71.89,25,5,6.08,LY,1670074930
268,lahan,26.7296,86.4951,66.0,57,57,3.76,NP,1670074930
269,chokurdakh,70.6333,147.9167,-5.15,94,100,18.54,RU,1670074931
270,robe,-37.1833,139.75,61.83,54,0,8.5,AU,1670074931
271,itau de minas,-20.7394,-46.7522,79.65,64,94,6.11,BR,1670074931
272,kloulklubed,7.0419,134.2556,79.3,77,100,17.09,PW,1670074931
273,cherskiy,68.75,161.3,-8.93,86,4,9.73,RU,1670074931
274,les cayes,18.2,-73.75,82.54,57,13,9.24,HT,1670074647
275,rudraprayag,30.2833,78.9833,58.5,67,0,0.65,IN,1670074932
276,nikolskoye,59.7035,30.7861,24.69,87,100,7.58,RU,1670074932
277,tarpon springs,28.1461,-82.7568,69.13,88,0,5.01,US,1670074932
278,husavik,66.0449,-17.3389,35.4,88,100,2.82,IS,1670074932
279,baker city,44.7749,-117.8344,17.31,73,0,10.36,US,1670074933
280,lasa,46.6166,10.7002,43.68,95,100,4.92,IT,1670074933
281,xining,36.6167,101.7667,22.87,40,100,3.33,CN,1670074933
282,masunga,-20.6246,27.4488,88.21,25,90,4.29,BW,1670074934
283,port hedland,-20.3167,118.5667,82.45,74,0,13.8,AU,1670074935
284,meulaboh,4.1363,96.1285,75.52,87,100,3.94,ID,1670074935
285,bien hoa,10.95,106.8167,75.18,89,100,3.24,VN,1670074935
286,kidal,18.4411,1.4078,90.52,11,2,5.68,ML,1670074935
287,yar-sale,66.8333,70.8333,25.09,96,100,17.0,RU,1670074936
288,narsaq,60.9167,-46.05,32.22,94,100,1.12,GL,1670074936
289,fergus falls,46.283,-96.0776,-1.82,84,96,9.22,US,1670074937
290,shizukuishi,39.6833,140.9833,41.68,97,99,5.7,JP,1670074937
291,malazgirt,39.1427,42.5401,41.77,72,64,5.86,TR,1670074937
292,rocha,-34.4833,-54.3333,73.92,53,100,5.44,UY,1670074937
293,san pedro,14.35,121.0167,83.35,80,20,8.05,PH,1670074938
294,berlin,52.5244,13.4105,32.36,90,100,9.22,DE,1670074670
295,qaqortoq,60.7167,-46.0333,28.63,89,100,1.88,GL,1670074658
296,lata,40.1629,-8.3327,61.07,58,0,2.42,PT,1670074939
297,taksimo,56.3444,114.8794,-11.52,87,94,4.34,RU,1670074939
298,lundazi,-12.2929,33.1782,75.96,58,97,7.9,ZM,1670074939
299,havelock,34.8791,-76.9013,63.95,94,20,9.22,US,1670074939
300,tilichiki,60.4667,166.1,23.77,90,100,7.05,RU,1670074940
301,acopiara,-6.0953,-39.4525,90.86,31,46,9.57,BR,1670074940
302,iguape,-24.7081,-47.5553,79.88,75,100,2.04,BR,1670074940
303,pevek,69.7008,170.3133,-4.14,84,3,13.67,RU,1670074940
304,camacha,33.0833,-16.3333,60.22,67,20,11.5,PT,1670074941
305,muros,42.7762,-9.0603,55.09,57,1,13.71,ES,1670074941
306,galle,6.0367,80.217,78.98,81,98,3.53,LK,1670074941
307,alofi,-19.0595,-169.9187,71.49,100,99,0.0,NU,1670074941
308,hailun,47.45,126.9333,-11.18,96,99,3.24,CN,1670074941
309,dingle,10.9995,122.6711,76.48,91,77,6.8,PH,1670074942
310,san lorenzo,-25.3333,-57.5333,81.54,74,75,3.44,PY,1670074942
311,beringovskiy,63.05,179.3167,25.16,79,100,22.08,RU,1670074942
312,tanabe,33.7333,135.3667,50.0,79,100,1.77,JP,1670074942
313,otane,-39.8833,176.6333,47.01,95,7,2.19,NZ,1670074943
314,ahipara,-35.1667,173.1667,55.38,85,9,5.68,NZ,1670074943
315,cockburn town,21.4612,-71.1419,79.88,66,52,21.54,TC,1670074943
316,saint-augustin,51.226,-58.6502,19.29,87,55,2.73,CA,1670074943
317,urengoy,65.9667,78.3667,13.32,94,92,10.49,RU,1670074943
318,sao felix do xingu,-6.6447,-51.995,83.44,69,92,2.19,BR,1670074944
319,zacualtipan,20.65,-98.6,54.75,85,52,1.1,MX,1670074944
